Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.example-workshop.json	24946	-	0	0	0	0	0	0	8	279	0	0	0	0	0	0	0	1	0	0	219	135	0	0	1	8	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1551	5	1	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	31	18	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1350	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	16	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1562	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	27	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	6143	7	1	0	0	0	0	0	1	18	0	0	1	0	0	0	0	0	0	0	47	2994	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZConcepts.json	12858	7	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	81	122	0	0	0	8	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	1203	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	58	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToAdministrativeGender.json	2569	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	22	36	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToICD11.json	6129	4	1	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	51	45	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToLOINC.json	6330	4	0	0	0	0	0	0	0	1234	0	0	0	0	0	0	0	0	0	0	42	37	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToSNOMED.json	8725	4	0	0	0	0	0	0	1	6251	0	0	0	0	0	0	0	0	0	0	51	51	0	0	0	1	0	0
fsh-generated/resources/Library-IMMZCommon.json	1090	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	414	47	0	0	0	22	0	0
fsh-generated/resources/Library-IMMZConcepts.json	1074	2	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	210	23	0	0	0	5	0	1
fsh-generated/resources/Library-IMMZConfig.json	1064	3	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	219	20	0	0	0	6	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesDose0Logic.json	1184	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	275	20	0	0	0	12	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLTLogic.json	1169	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	373	25	0	0	0	13	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLogic.json	1152	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	200	25	0	0	0	12	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesOTLogic.json	1169	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	372	35	0	0	0	13	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesSupplementaryLogic.json	1224	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	219	27	0	0	0	8	0	0
fsh-generated/resources/Library-IMMZD5DTMeaslesCILogic.json	1169	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	105	20	0	0	0	4	0	0
fsh-generated/resources/Library-IMMZElements.json	1094	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	1590	123	0	0	0	52	0	0
fsh-generated/resources/Library-IMMZEncounterElements.json	1135	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1531	82	0	0	0	46	0	0
fsh-generated/resources/Library-IMMZIND08Logic.json	1110	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	199	25	0	0	0	7	0	0
fsh-generated/resources/Library-IMMZIND12Logic.json	1116	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	128	21	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZIND13Logic.json	1116	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	132	21	0	0	0	4	0	0
fsh-generated/resources/Library-IMMZIndicatorElements.json	1164	3	1	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	1257	72	0	0	0	27	0	0
fsh-generated/resources/Library-IMMZVaccineLibrary.json	1125	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	81	19	0	0	0	2	0	0
fsh-generated/resources/Library-WHOCommon.json	1112	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2296	77	0	0	0	61	0	0
fsh-generated/resources/Library-WHOConcepts.json	1103	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	78	12	0	0	0	1	0	0
fsh-generated/resources/Library-WHOElements.json	1116	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	102	13	0	0	0	3	0	0
fsh-generated/resources/Library-WHOEncounterElements.json	1157	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	104	14	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGImmunization.json	1572	3	0	0	0	0	0	100	0	85	0	0	0	0	0	0	0	1	0	0	241	2039	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGMedicationClassification.json	1402	3	0	0	1	0	0	53	0	10	0	0	0	0	0	0	0	0	0	0	54	373	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGVaccineProduct.json	1521	3	1	0	0	0	0	96	0	12	0	0	0	0	0	0	0	1	0	0	145	424	0	1	0	3	0	1
fsh-generated/resources/StructureDefinition-SGVaccineProposal.json	1824	3	0	0	0	0	0	92	0	23	0	0	0	0	0	0	0	1	0	0	267	630	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGVaccineRequest.json	1292	3	0	0	0	0	0	102	0	24	0	0	1	0	0	0	0	1	0	0	252	524	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-sg-ext-administeredProduct.json	1515	3	0	0	0	0	0	56	0	11	0	0	0	0	0	0	0	0	0	0	60	109	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ARVDrugs-values.json	1018	3	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	15	4744	0	0	0	1	0	0
fsh-generated/resources/ValueSet-AllVaccineTypes.json	1797	3	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	19	227	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Birthweight-values.json	1133	3	0	0	0	0	0	0	1	157	0	0	0	0	0	0	0	0	0	0	15	223	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVstatus-values.json	1308	2	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	17	159	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.C.DE5.json	1110	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	72	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE10.json	1045	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	67	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE1VS.json	942	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	62	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE5VS.json	1411	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	69	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D4.DE161.json	1348	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	66	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.Z.DE9.json	1972	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	73	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Immunocompromised-values.json	993	3	0	0	0	0	0	0	1	81	0	0	0	0	0	0	0	0	0	0	16	132	0	0	0	0	0	0
fsh-generated/resources/ValueSet-LiveAttenuatedVaccines.json	1870	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	74	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Negativetestresult-values.json	887	3	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	13	142	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PositiveTestResult-values.json	893	3	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	14	118	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SGImmunizationStatusCodes.json	1120	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	49	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSMeaslesVaccineProducts.json	813	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	45	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VaccineTypes.json	1588	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	55	0	0	0	0	0	0
fsh-generated/resources/ValueSet-pregnancystatus-values.json	1893	3	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	16	210	0	0	0	1	0	0
fsh-generated/resources/ValueSet-sgcountry.json	808	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	1151	0	0	0	0	0	0
